episode,reward_total,reward_leader,reward_follower,timesteps,wall_time
217,-1146.80,-839.19,-307.61,1000,1602.0
218,-503.42,-504.59,1.17,14,1602.1
219,-1589.47,-1238.43,-351.04,1000,1611.3
220,-2163.27,-1768.27,-395.00,1000,1620.7
221,-2044.47,-1711.25,-333.22,1000,1629.8
222,-2138.19,-1764.94,-373.26,1000,1639.2
223,-1678.39,-1415.46,-262.93,1000,1648.5
224,-1469.09,-1226.50,-242.59,1000,1658.0
225,-552.87,-461.58,-91.29,1000,1667.6
226,-726.27,-531.53,-194.74,1000,1677.1
227,-765.39,-558.41,-206.99,1000,1686.3
228,-513.54,-419.64,-93.90,1000,1695.7
229,-574.20,-424.08,-150.13,1000,1705.2
230,-469.01,-386.79,-82.22,1000,1714.6
231,-913.64,-642.95,-270.69,1000,1724.0
232,-1088.37,-751.43,-336.93,1000,1733.4
233,-1204.21,-853.92,-350.29,1000,1742.8
234,-920.02,-692.90,-227.13,1000,1752.3
235,-1111.16,-885.79,-225.37,1000,1761.6
236,-1325.68,-919.67,-406.01,1000,1770.5
237,-725.59,-486.95,-238.64,1000,1779.3
238,-772.26,-563.96,-208.31,1000,1787.9
239,-831.64,-611.60,-220.04,1000,1796.3
240,-724.69,-534.11,-190.58,1000,1805.1
241,-812.92,-605.82,-207.10,1000,1813.8
242,-728.77,-493.43,-235.34,1000,1822.4
243,-582.10,-484.16,-97.94,1000,1831.0
244,-684.90,-543.06,-141.84,1000,1839.8
245,-539.35,-450.51,-88.84,1000,1848.4
246,-561.70,-460.90,-100.80,1000,1857.6
247,-511.44,-509.92,-1.52,11,1857.8
248,-673.94,-503.52,-170.42,1000,1867.7
249,-752.81,-532.14,-220.67,1000,1877.1
250,-514.88,-513.16,-1.72,10,1877.2
251,-576.67,-481.75,-94.92,1000,1886.8
252,-886.21,-626.48,-259.73,1000,1896.0
253,-572.72,-464.66,-108.06,1000,1905.5
254,-759.04,-584.27,-174.77,1000,1914.9
255,-641.84,-465.56,-176.28,1000,1924.3
256,-675.87,-499.73,-176.14,1000,1933.9
257,-1314.46,-886.43,-428.03,1000,1943.3
258,-1119.72,-882.58,-237.14,1000,1952.9
259,-520.46,-438.24,-82.21,1000,1962.3
260,-775.31,-570.04,-205.28,1000,1971.8
261,-709.01,-540.74,-168.27,1000,1981.5
262,-500.56,-432.18,-68.37,1000,1990.9
263,-586.48,-466.14,-120.34,1000,2000.7
264,-439.16,-382.40,-56.76,1000,2010.3
265,-1393.44,-1290.59,-102.85,1000,2019.9
266,-532.54,-444.94,-87.59,1000,2029.7
267,-642.36,-483.96,-158.40,1000,2039.4
268,-588.51,-459.84,-128.67,1000,2048.6
269,-489.79,-409.60,-80.19,1000,2058.1
270,-501.96,-424.02,-77.95,1000,2067.7
271,-552.65,-444.87,-107.79,1000,2077.0
272,-544.69,-469.49,-75.20,1000,2086.6
273,-536.45,-458.27,-78.18,1000,2095.7
274,-501.46,-413.92,-87.54,1000,2105.2
275,-525.49,-435.44,-90.06,1000,2115.2
276,-532.36,-446.63,-85.73,1000,2124.8
277,-821.02,-570.87,-250.15,1000,2134.2
278,-1329.29,-840.17,-489.12,1000,2143.4
279,-1124.01,-716.97,-407.04,1000,2152.7
280,-1269.86,-827.08,-442.77,1000,2161.5
281,-1266.48,-822.33,-444.15,1000,2170.8
282,-504.65,-503.98,-0.68,6,2170.8
283,1595.33,644.83,950.50,1000,2180.3
284,-617.16,-478.70,-138.47,1000,2189.8
285,-160.74,-240.92,80.18,1000,2199.3
286,-469.21,-430.57,-38.64,1000,2209.1
287,-567.00,-466.15,-100.85,1000,2218.3
288,-507.96,-437.56,-70.40,1000,2227.7
289,-696.80,-505.02,-191.78,1000,2237.3
290,-1104.88,-732.41,-372.47,1000,2247.1
291,-534.80,-462.86,-71.94,1000,2256.7
292,-799.36,-592.41,-206.94,1000,2266.1
293,-698.55,-544.82,-153.73,1000,2275.9
294,1464.62,564.85,899.77,1000,2285.6
295,-512.87,-432.10,-80.77,1000,2295.7
296,-851.65,-605.95,-245.70,1000,2305.3
297,-975.30,-664.99,-310.31,1000,2315.1
298,-1106.85,-714.69,-392.16,1000,2324.9
299,-1182.26,-748.15,-434.11,1000,2334.6
300,-1221.78,-790.45,-431.33,1000,2344.3
301,-592.16,-495.02,-97.14,1000,2353.8
302,-319.51,-353.90,34.39,1000,2363.3
303,-586.95,-488.47,-98.49,1000,2372.4
304,-1031.14,-691.40,-339.74,1000,2382.0
305,-1488.12,-947.35,-540.77,1000,2391.6
306,-1108.83,-698.49,-410.34,1000,2401.2
307,-774.34,-593.38,-180.96,1000,2410.9
308,-953.95,-678.64,-275.31,1000,2420.2
309,-1122.32,-774.08,-348.24,1000,2430.0
310,-1339.87,-867.78,-472.10,1000,2439.6
311,-1289.87,-844.75,-445.12,1000,2449.2
312,-1174.93,-781.19,-393.74,1000,2458.6
313,-827.61,-582.66,-244.94,1000,2468.4
314,-717.22,-523.60,-193.63,1000,2477.7
315,-746.42,-565.88,-180.55,1000,2487.1
316,-791.37,-564.92,-226.44,1000,2496.5
317,-754.80,-556.36,-198.44,1000,2505.8
318,-620.78,-504.93,-115.86,1000,2515.2
319,-859.28,-602.12,-257.16,1000,2524.8
320,-721.57,-535.78,-185.79,1000,2534.6
321,-714.29,-540.52,-173.77,1000,2544.2
322,-1277.57,-1096.73,-180.84,1000,2554.0
323,-845.11,-601.81,-243.30,1000,2563.4
324,-667.42,-508.17,-159.25,1000,2572.8
325,-783.74,-595.90,-187.84,1000,2582.5
326,-656.88,-523.78,-133.10,1000,2592.1
