episode,reward_total,reward_leader,reward_follower,timesteps,wall_time
252,-545.09,-537.11,-7.98,65,905.8
253,928.59,939.52,-10.93,64,907.9
254,975.45,977.31,-1.85,74,910.3
255,984.37,988.45,-4.09,33,911.4
256,941.42,944.48,-3.06,69,913.6
257,-506.69,-505.85,-0.83,6,913.8
258,995.63,994.55,1.08,31,914.8
259,770.20,813.11,-42.91,149,919.7
260,981.42,986.81,-5.39,32,920.7
261,989.45,991.53,-2.08,30,921.7
262,140.22,243.10,-102.88,512,938.4
263,263.45,307.61,-44.15,477,954.0
264,989.52,991.71,-2.19,31,955.0
265,987.84,990.28,-2.44,35,956.1
266,324.48,396.96,-72.47,385,968.5
267,987.40,989.65,-2.25,24,969.2
268,986.63,989.49,-2.86,34,970.3
269,361.57,401.23,-39.66,424,983.9
270,984.59,989.08,-4.49,35,985.0
271,767.47,778.45,-10.98,171,990.7
272,924.69,935.40,-10.72,66,992.9
273,904.35,912.55,-8.20,80,995.5
274,992.14,993.22,-1.08,28,996.4
275,990.00,991.51,-1.51,34,997.5
276,972.00,972.96,-0.96,50,999.1
277,994.50,994.22,0.28,34,1000.2
278,992.35,992.59,-0.24,28,1001.1
279,986.27,990.32,-4.05,32,1002.1
280,950.16,954.60,-4.44,58,1004.0
281,289.71,333.68,-43.97,513,1020.6
282,989.44,992.18,-2.74,24,1021.4
283,986.26,990.51,-4.25,27,1022.2
284,988.26,989.69,-1.43,43,1023.6
285,925.70,947.72,-22.02,109,1027.1
286,982.48,986.31,-3.83,38,1028.4
287,992.84,993.58,-0.74,30,1029.4
288,244.98,301.44,-56.46,510,1045.8
289,988.66,991.69,-3.03,30,1046.7
290,-1463.62,-1386.75,-76.87,1000,1079.2
291,191.41,241.10,-49.70,527,1096.5
292,996.37,995.61,0.76,28,1097.4
293,-1537.46,-1443.53,-93.93,1000,1129.4
294,991.26,992.52,-1.26,28,1130.3
295,198.33,240.39,-42.06,562,1148.2
296,794.49,805.89,-11.41,182,1154.1
297,677.50,706.93,-29.44,297,1164.0
298,-515.59,-515.07,-0.52,10,1164.3
299,935.61,937.71,-2.10,79,1166.9
300,989.16,991.29,-2.13,29,1167.8
301,957.21,961.44,-4.23,53,1169.5
302,745.89,757.83,-11.94,187,1175.5
303,481.95,512.17,-30.23,369,1187.4
304,981.51,984.58,-3.07,41,1188.7
305,966.97,970.93,-3.96,44,1190.1
306,-505.89,-505.25,-0.64,5,1190.3
307,882.38,889.64,-7.26,98,1193.4
308,198.51,268.79,-70.28,612,1213.3
309,965.63,969.92,-4.29,45,1214.8
310,-1430.58,-1357.83,-72.74,1000,1247.3
311,-1255.74,-1158.14,-97.61,1000,1279.6
312,506.65,520.00,-13.35,353,1291.4
313,991.60,992.74,-1.14,29,1292.3
314,990.29,992.17,-1.89,30,1293.2
315,937.05,947.91,-10.86,67,1295.4
316,976.31,984.72,-8.41,32,1296.4
317,-508.56,-507.46,-1.10,10,1296.7
318,985.42,988.81,-3.39,31,1297.8
319,995.76,994.53,1.23,28,1298.7
320,975.85,984.31,-8.46,33,1299.8
321,835.00,852.04,-17.04,116,1303.6
322,-505.48,-504.77,-0.71,8,1303.9
323,996.07,995.46,0.61,24,1304.7
324,997.04,995.23,1.80,40,1306.0
325,-524.85,-521.25,-3.59,26,1306.9
326,921.09,933.19,-12.09,85,1309.8
327,998.13,995.16,2.97,32,1310.8
328,985.60,988.69,-3.09,34,1311.9
329,991.34,992.69,-1.35,32,1312.9
330,995.58,993.41,2.17,36,1314.1
331,984.47,988.83,-4.36,32,1315.2
332,989.68,992.25,-2.57,30,1316.2
333,986.61,988.98,-2.37,33,1317.3
334,1006.42,1001.08,5.34,22,1318.0
335,982.31,985.02,-2.71,47,1319.6
336,994.60,995.36,-0.76,21,1320.3
337,970.96,977.70,-6.74,55,1322.0
338,993.24,994.52,-1.27,23,1322.7
339,990.61,992.70,-2.09,25,1323.5
340,987.23,991.12,-3.89,24,1324.3
341,997.46,995.40,2.06,32,1325.3
342,989.57,991.93,-2.36,28,1326.2
343,-509.76,-508.74,-1.02,14,1326.7
344,965.11,971.45,-6.34,45,1328.1
345,993.29,994.44,-1.15,23,1328.8
346,938.95,947.79,-8.84,67,1330.9
347,991.39,993.13,-1.74,27,1331.7
348,-516.64,-515.24,-1.40,13,1332.1
349,987.61,988.69,-1.08,47,1333.6
350,30.94,86.30,-55.37,710,1357.0
351,809.88,786.51,23.37,269,1365.8
352,989.73,992.69,-2.96,22,1366.5
353,991.39,992.90,-1.52,26,1367.4
354,975.90,983.55,-7.65,41,1368.6
355,-513.56,-512.50,-1.06,15,1369.1
356,490.84,525.42,-34.57,357,1380.9
357,981.32,981.77,-0.46,64,1382.9
358,664.15,679.46,-15.30,226,1390.1
359,707.59,725.30,-17.71,226,1397.4
360,965.81,974.39,-8.58,56,1399.2
361,934.01,947.22,-13.21,57,1401.1
362,997.21,994.69,2.52,38,1402.3
363,989.67,990.53,-0.86,39,1403.5
364,982.59,983.74,-1.15,46,1405.1
365,99.45,172.28,-72.83,700,1428.0
366,992.53,994.00,-1.47,22,1428.8
367,972.97,978.28,-5.31,38,1429.9
368,-509.43,-508.96,-0.47,12,1430.3
369,934.57,939.68,-5.11,93,1433.4
370,-505.34,-505.02,-0.32,5,1433.5
371,1026.59,1008.12,18.48,69,1435.7
372,958.66,959.52,-0.86,55,1437.4
373,981.91,985.61,-3.69,45,1438.9
374,281.00,325.82,-44.82,552,1456.5
375,-505.68,-505.18,-0.49,5,1456.7
376,-507.97,-506.95,-1.02,9,1457.0
377,988.81,990.15,-1.34,24,1457.7
378,965.58,969.06,-3.48,72,1460.2
379,988.76,990.32,-1.56,31,1461.2
380,426.15,459.10,-32.95,454,1476.2
381,987.23,989.68,-2.45,30,1477.2
382,988.37,990.85,-2.49,30,1478.3
383,994.83,995.09,-0.26,23,1479.0
384,-524.96,-521.40,-3.56,33,1480.1
385,793.66,784.09,9.57,312,1489.9
386,899.93,901.62,-1.70,109,1493.5
387,934.55,937.07,-2.52,59,1495.5
388,813.11,825.85,-12.74,160,1500.6
389,671.26,732.88,-61.62,205,1507.3
390,920.80,930.01,-9.21,88,1510.2
391,986.05,988.38,-2.33,36,1511.3
392,995.07,992.79,2.28,36,1512.6
393,983.55,986.27,-2.72,47,1514.1
394,-505.61,-505.29,-0.32,6,1514.4
395,983.82,987.13,-3.31,41,1515.7
396,883.43,879.76,3.67,251,1524.1
397,-517.44,-515.06,-2.37,22,1524.8
398,547.61,556.32,-8.71,408,1537.8
399,797.97,813.88,-15.91,145,1542.4
400,1015.11,1002.81,12.30,41,1543.8
401,858.75,852.34,6.41,166,1549.3
402,989.29,991.52,-2.23,29,1550.2
403,989.45,992.44,-2.99,23,1551.0
404,-521.33,-518.59,-2.74,21,1551.7
405,994.13,993.84,0.29,30,1552.8
406,992.08,993.12,-1.04,28,1553.6
407,992.70,993.51,-0.81,28,1554.6
408,990.31,992.53,-2.22,26,1555.4
409,986.47,990.39,-3.91,21,1556.0
410,998.90,995.97,2.93,28,1557.0
411,951.53,954.95,-3.42,64,1559.1
412,986.34,989.64,-3.30,31,1560.1
413,-503.77,-503.39,-0.37,5,1560.3
414,-511.31,-509.96,-1.35,12,1560.7
415,993.63,994.81,-1.19,20,1561.4
416,-506.59,-506.23,-0.36,9,1561.7
417,981.79,986.88,-5.09,34,1562.8
418,970.22,975.65,-5.42,62,1564.9
419,-573.78,-564.73,-9.05,71,1567.1
420,977.24,984.26,-7.01,34,1568.1
421,991.41,992.94,-1.52,27,1569.1
422,558.67,587.07,-28.40,267,1577.8
423,986.47,988.73,-2.26,22,1578.5
424,1020.83,1007.06,13.77,31,1579.5
425,989.37,992.25,-2.88,24,1580.3
426,988.05,991.05,-3.00,27,1581.2
427,988.61,990.92,-2.31,29,1582.2
428,997.49,996.07,1.43,27,1583.0
429,910.01,910.40,-0.39,99,1586.2
430,992.03,993.50,-1.48,25,1587.1
431,998.87,996.40,2.47,28,1588.1
432,-509.04,-507.76,-1.28,11,1588.4
433,-504.65,-504.02,-0.63,6,1588.6
434,992.21,993.63,-1.42,25,1589.4
435,986.79,988.50,-1.71,41,1590.8
436,1002.19,997.63,4.56,29,1591.7
437,959.91,964.45,-4.55,48,1593.2
438,1005.60,1000.25,5.36,26,1594.1
439,978.59,983.80,-5.20,41,1595.4
440,986.11,987.74,-1.62,37,1596.7
441,985.47,989.43,-3.96,28,1597.6
442,703.68,720.81,-17.13,201,1604.1
443,991.86,993.75,-1.89,21,1604.8
444,-507.75,-507.39,-0.36,7,1605.0
445,991.84,993.02,-1.18,28,1605.9
446,888.57,896.46,-7.89,102,1609.2
447,873.38,881.18,-7.79,107,1612.6
448,983.93,988.58,-4.65,28,1613.5
449,984.61,983.26,1.35,39,1614.8
450,977.64,984.03,-6.39,35,1615.9
451,909.69,922.05,-12.37,113,1619.5
452,976.86,984.72,-7.86,30,1620.5
453,925.06,939.54,-14.48,100,1623.7
454,838.09,848.76,-10.67,174,1629.2
455,-504.97,-504.32,-0.65,7,1629.4
456,-506.08,-505.68,-0.40,7,1629.7
457,991.58,992.04,-0.45,32,1630.7
458,988.66,989.63,-0.97,34,1631.9
459,-510.57,-510.23,-0.35,11,1632.3
460,994.60,995.13,-0.53,25,1633.1
461,1008.77,1001.31,7.46,27,1634.1
462,-508.69,-508.01,-0.67,8,1634.3
463,989.87,992.11,-2.23,25,1635.2
464,993.33,994.06,-0.73,27,1636.1
465,991.26,992.69,-1.43,28,1637.0
466,992.29,994.60,-2.30,18,1637.6
467,990.64,992.41,-1.77,30,1638.6
468,980.21,982.46,-2.25,41,1640.0
469,1008.87,1002.20,6.67,22,1640.7
470,994.46,995.05,-0.60,23,1641.5
471,991.17,992.11,-0.93,31,1642.5
472,987.86,990.45,-2.59,30,1643.4
473,918.13,930.18,-12.05,77,1645.9
474,988.93,991.08,-2.14,29,1646.9
475,990.84,992.40,-1.56,30,1647.8
476,1011.06,1001.91,9.15,30,1648.7
477,989.64,991.75,-2.11,31,1649.8
478,984.59,987.68,-3.09,38,1651.0
479,991.02,992.24,-1.22,31,1652.0
480,-507.46,-506.86,-0.60,10,1652.3
481,988.94,992.26,-3.33,22,1653.0
