episode,reward_total,reward_leader,reward_follower,timesteps,wall_time
325,979.43,982.88,-3.46,48,2084.7
326,982.01,985.47,-3.47,47,2086.1
327,988.94,989.68,-0.75,33,2087.1
328,988.12,990.23,-2.10,31,2088.1
329,979.63,983.28,-3.65,56,2089.7
330,974.04,976.58,-2.55,54,2091.3
331,992.91,991.95,0.96,34,2092.4
332,990.98,993.09,-2.10,18,2093.0
333,988.89,991.16,-2.27,22,2093.7
334,988.94,992.44,-3.50,25,2094.4
335,966.20,972.37,-6.18,48,2095.9
336,993.35,994.37,-1.02,24,2096.6
337,975.66,982.17,-6.51,49,2098.1
338,984.24,987.59,-3.36,20,2098.7
339,972.15,980.74,-8.59,54,2100.3
340,985.16,989.90,-4.74,26,2101.1
341,979.85,983.70,-3.85,54,2102.6
342,-503.56,-503.14,-0.42,4,2102.7
343,968.19,977.17,-8.98,58,2104.4
344,941.79,937.89,3.90,77,2106.7
345,997.81,996.59,1.22,22,2107.4
346,918.62,926.65,-8.02,97,2110.1
347,991.02,993.14,-2.11,23,2110.9
348,990.46,992.72,-2.26,26,2111.6
349,839.33,877.27,-37.94,191,2117.4
350,986.97,990.40,-3.43,30,2118.3
351,969.50,973.89,-4.39,42,2119.6
352,981.27,987.83,-6.56,29,2120.4
353,983.30,989.22,-5.92,23,2121.1
354,887.05,922.45,-35.41,104,2124.2
355,980.00,985.50,-5.50,38,2125.4
356,981.90,985.74,-3.84,47,2126.7
357,986.71,989.61,-2.90,33,2127.7
358,963.30,972.52,-9.21,84,2130.2
359,975.56,981.50,-5.94,56,2131.9
360,966.37,974.91,-8.54,65,2133.9
361,965.56,969.97,-4.40,47,2135.3
362,991.19,993.35,-2.16,22,2136.0
363,986.50,989.86,-3.36,43,2137.4
364,-509.06,-508.34,-0.72,20,2138.0
365,984.25,985.94,-1.69,28,2138.8
366,994.50,995.19,-0.69,21,2139.4
367,946.48,959.63,-13.16,66,2141.4
368,-506.22,-505.38,-0.84,10,2141.7
369,973.09,978.95,-5.86,60,2143.4
370,990.84,993.08,-2.24,23,2144.1
371,1002.07,998.99,3.08,21,2144.7
372,972.11,977.90,-5.79,57,2146.3
373,-507.01,-506.49,-0.52,14,2146.8
374,971.93,976.75,-4.82,44,2148.1
375,990.65,992.42,-1.76,28,2149.0
376,987.33,990.75,-3.42,28,2149.9
377,-504.60,-504.29,-0.31,8,2150.1
378,978.05,980.99,-2.93,33,2151.1
379,621.92,636.24,-14.32,283,2159.5
380,-505.43,-504.44,-0.99,6,2159.7
381,859.48,836.52,22.95,166,2164.7
382,977.50,983.84,-6.34,28,2165.6
383,-504.52,-503.97,-0.55,6,2165.8
384,986.88,990.90,-4.02,28,2166.7
385,976.80,981.37,-4.58,41,2167.9
386,980.61,985.10,-4.49,39,2169.0
387,989.92,991.44,-1.52,20,2169.6
388,985.33,988.52,-3.19,44,2170.8
389,988.28,991.48,-3.20,31,2171.8
390,825.85,804.83,21.02,264,2179.7
391,973.77,979.49,-5.72,42,2180.9
392,990.06,992.39,-2.34,25,2181.7
393,978.18,981.68,-3.50,40,2182.9
394,992.91,994.51,-1.60,23,2183.6
395,978.51,982.46,-3.95,31,2184.5
396,973.44,979.36,-5.93,55,2186.1
397,984.04,988.45,-4.41,38,2187.2
398,981.45,984.03,-2.57,55,2188.9
399,923.94,936.70,-12.76,95,2191.8
400,-524.96,-520.13,-4.83,34,2192.8
401,979.27,984.01,-4.74,47,2194.2
402,-505.87,-505.14,-0.74,9,2194.5
403,-506.32,-505.63,-0.69,6,2194.7
404,989.09,991.78,-2.70,28,2195.4
405,987.56,989.72,-2.16,29,2196.3
406,988.73,990.99,-2.25,34,2197.3
407,989.75,992.02,-2.27,28,2198.2
408,-505.11,-504.58,-0.53,8,2198.4
409,-503.29,-502.99,-0.30,4,2198.5
