episode,reward_total,reward_leader,reward_follower,timesteps,wall_time
370,993.38,994.63,-1.25,23,755.1
371,993.39,993.88,-0.48,27,755.8
372,969.56,975.25,-5.69,56,757.6
373,987.63,990.24,-2.61,33,758.6
374,965.33,973.48,-8.15,68,760.7
375,1005.26,998.16,7.10,44,762.0
376,985.50,989.66,-4.16,33,762.9
377,984.13,988.01,-3.88,45,764.2
378,984.43,987.95,-3.51,37,765.4
379,946.60,953.67,-7.07,60,767.1
380,980.76,987.40,-6.65,26,767.8
381,984.24,985.96,-1.72,32,768.8
382,993.44,994.86,-1.42,20,769.4
383,991.86,993.12,-1.26,27,770.1
384,980.86,984.48,-3.62,32,771.1
385,-506.52,-505.92,-0.60,7,771.3
386,974.88,980.68,-5.80,55,772.9
387,992.53,994.23,-1.70,22,773.5
388,977.45,981.35,-3.91,43,774.7
389,892.17,912.63,-20.46,88,777.3
390,981.90,984.90,-3.00,49,778.7
391,976.43,981.11,-4.68,37,779.9
392,989.61,991.49,-1.88,29,780.7
393,984.55,987.08,-2.53,27,781.5
394,983.25,987.37,-4.11,37,782.7
395,937.04,945.34,-8.30,60,784.4
396,937.47,942.33,-4.86,82,786.8
397,933.42,940.86,-7.44,67,788.9
398,974.26,980.90,-6.65,62,790.7
399,979.28,984.46,-5.17,37,791.8
400,985.14,988.78,-3.64,33,792.7
401,971.62,977.30,-5.68,58,794.5
402,978.70,984.46,-5.77,41,795.7
403,-504.23,-503.58,-0.64,5,795.8
404,991.04,992.65,-1.61,32,796.8
405,991.62,993.11,-1.49,28,797.7
406,986.37,989.47,-3.10,39,798.8
407,992.47,993.54,-1.07,29,799.6
408,988.21,990.83,-2.62,29,800.5
409,992.84,994.00,-1.16,24,801.3
410,985.33,988.39,-3.06,24,801.9
411,901.34,911.92,-10.58,97,804.7
412,950.24,956.08,-5.84,55,806.4
413,989.59,991.69,-2.10,30,807.2
414,929.36,942.05,-12.69,52,808.7
415,991.95,993.08,-1.13,30,809.7
416,-504.68,-504.31,-0.37,8,809.9
417,989.99,991.44,-1.45,35,810.9
418,-510.66,-509.13,-1.53,14,811.3
419,963.48,969.48,-5.99,90,814.0
420,959.78,971.43,-11.65,62,815.8
421,929.59,938.41,-8.81,75,818.1
422,981.51,985.40,-3.90,40,819.3
423,987.53,988.77,-1.24,27,820.1
424,976.95,979.60,-2.65,65,821.9
425,991.73,992.90,-1.17,24,822.6
426,991.89,993.33,-1.44,26,823.4
427,987.14,989.33,-2.19,35,824.4
428,985.65,988.56,-2.91,37,825.5
429,806.28,816.95,-10.67,157,830.0
430,991.68,993.11,-1.43,26,830.8
431,988.37,990.03,-1.66,34,831.8
432,978.85,983.38,-4.53,46,833.2
433,-504.19,-503.62,-0.57,5,833.4
434,985.21,987.87,-2.66,40,834.5
435,974.23,979.06,-4.83,57,836.2
436,983.95,986.56,-2.61,41,837.3
437,950.46,956.50,-6.04,52,838.8
438,988.51,990.31,-1.81,36,839.9
439,986.16,988.17,-2.01,40,841.1
440,917.87,926.38,-8.51,75,843.2
441,985.78,988.28,-2.50,41,844.4
442,972.62,978.41,-5.79,38,845.5
443,993.28,994.09,-0.81,25,846.3
444,-506.48,-505.93,-0.55,7,846.5
445,987.68,989.60,-1.92,34,847.5
446,813.65,825.70,-12.05,137,851.6
447,-507.32,-506.32,-1.00,11,851.9
448,989.74,991.50,-1.77,28,852.7
449,986.24,989.47,-3.23,34,853.7
450,974.92,980.16,-5.24,50,855.2
451,980.59,984.09,-3.50,53,856.8
452,987.08,989.61,-2.53,31,857.8
453,981.12,985.02,-3.90,44,859.1
454,958.39,968.44,-10.06,67,861.1
455,-505.57,-504.92,-0.65,9,861.3
456,985.89,989.73,-3.84,27,862.1
457,990.79,992.24,-1.45,28,863.0
458,918.71,923.84,-5.14,74,865.1
459,990.08,991.45,-1.37,37,866.2
460,986.13,987.86,-1.72,46,867.5
461,893.00,912.28,-19.28,68,869.6
462,987.12,988.50,-1.39,39,870.7
463,991.12,993.01,-1.89,24,871.4
464,984.27,988.17,-3.90,37,872.5
465,966.85,973.53,-6.69,73,874.5
466,988.19,990.08,-1.89,26,875.3
467,980.22,983.48,-3.26,48,876.6
468,-505.21,-504.77,-0.44,9,876.9
469,987.46,989.59,-2.13,33,877.8
470,993.30,994.39,-1.09,23,878.5
471,991.11,991.79,-0.68,33,879.4
472,987.66,989.90,-2.24,35,880.5
473,977.40,980.47,-3.08,60,882.1
474,860.37,875.73,-15.36,109,885.4
475,986.58,988.39,-1.81,41,886.6
476,980.06,982.23,-2.17,39,887.7
477,991.18,991.92,-0.74,33,888.7
478,986.60,988.53,-1.93,40,889.8
479,986.99,988.36,-1.37,47,891.2
480,988.78,990.98,-2.20,31,892.1
481,992.00,993.54,-1.54,24,892.8
482,967.06,970.53,-3.47,68,894.8
483,925.21,932.66,-7.44,101,897.8
484,985.47,987.12,-1.65,42,899.1
485,-559.96,-553.14,-6.82,46,900.4
486,991.65,993.26,-1.61,25,901.2
487,985.52,989.76,-4.25,26,901.9
488,990.61,992.48,-1.87,27,902.7
