episode,reward_total,reward_leader,reward_follower,timesteps,wall_time
207,974.16,975.43,-1.27,78,800.6
208,1007.77,1001.42,6.35,28,801.4
209,978.77,983.12,-4.35,54,802.8
210,985.16,988.34,-3.18,36,803.7
211,992.08,992.90,-0.82,31,804.5
212,989.68,992.96,-3.28,20,805.0
213,989.95,991.82,-1.88,31,805.9
214,957.97,965.49,-7.52,58,807.4
215,972.76,975.89,-3.13,60,809.0
216,993.17,994.23,-1.06,27,809.7
217,973.20,977.41,-4.21,70,811.5
218,990.96,992.38,-1.42,35,812.4
219,987.00,989.38,-2.37,35,813.3
220,980.55,984.70,-4.16,44,814.5
221,977.00,979.52,-2.52,42,815.6
222,966.71,973.12,-6.41,57,817.1
223,986.00,988.30,-2.30,38,818.1
224,992.83,993.86,-1.03,26,818.7
225,972.93,977.09,-4.16,51,820.0
226,945.77,955.70,-9.93,63,821.7
227,989.23,991.90,-2.67,29,822.4
228,942.51,944.42,-1.91,74,824.4
229,993.53,989.59,3.94,57,825.8
230,985.43,988.13,-2.70,35,826.7
231,983.35,987.27,-3.92,45,828.0
232,989.38,991.69,-2.31,27,828.7
233,986.10,990.11,-4.01,31,829.5
234,990.03,991.65,-1.62,43,830.6
235,969.31,975.31,-6.00,72,832.5
236,985.86,988.81,-2.95,40,833.5
237,990.38,991.83,-1.45,32,834.4
238,991.69,992.65,-0.97,33,835.2
239,981.71,985.46,-3.75,48,836.5
240,971.85,981.35,-9.49,49,837.7
241,991.95,993.04,-1.09,28,838.5
242,989.79,991.72,-1.93,29,839.3
243,982.83,985.59,-2.75,47,840.5
244,977.71,983.37,-5.67,62,842.1
245,985.00,988.12,-3.12,38,843.0
246,988.59,990.98,-2.39,29,843.8
247,991.80,992.71,-0.91,29,844.5
248,989.90,991.41,-1.51,33,845.3
249,987.36,990.63,-3.27,31,846.1
250,988.85,991.00,-2.15,33,847.0
251,988.74,991.58,-2.84,25,847.7
252,988.08,991.09,-3.01,30,848.5
253,989.80,991.07,-1.27,31,849.3
254,-505.07,-504.28,-0.80,6,849.4
255,990.42,992.18,-1.75,28,850.2
256,991.40,992.74,-1.34,32,851.0
257,978.81,981.42,-2.61,46,852.3
258,990.20,992.08,-1.88,27,853.0
259,-504.33,-503.77,-0.56,6,853.1
260,994.75,994.25,0.50,27,853.8
261,991.20,992.56,-1.36,28,854.6
262,983.75,986.71,-2.96,42,855.7
263,989.34,990.91,-1.57,35,856.6
264,988.51,991.83,-3.32,26,857.3
265,985.01,987.93,-2.92,39,858.3
266,987.40,989.39,-1.99,34,859.2
267,990.04,992.61,-2.57,25,859.9
268,982.58,987.21,-4.63,34,860.8
269,983.38,987.71,-4.33,37,861.7
270,989.11,990.48,-1.37,36,862.7
